,text,label
35,"BONUS KUOTA 500MB (1hr)! Cukup isi ulang min. 5,000 hari ini! Ayo buruan isi pulsa sekarang juga. T514",sms operator
36,BONUS PULSA 10RB! Ayo isi pulsa min. 5rb & dapetkan bonus pulsa 10rb utk nelp ke nmr Tri! Hanya hari ini saja! Ayo buruan isi pulsa! T530,sms operator
37,"BONUS PULSA 50% dari Indosat Ooredoo, MAU?? Ketik *345# dan call dari HP kamu sebelum 28 April 2016",sms operator
38,BONUS PULSA 50rb cuma dgn isi ulang 25rb!! Hny Indosat yg bisa begini. Penawaran berlaku s/d 11 April 2016. Bonus 1x utk digunakan ke sesama Indosat Ooredoo,sms operator
39,BONUS PULSA Rp 100 rb..!! Spesial untuk kamu pelanggan setia Indosat Ooredo.Hanya dengan isi ulang Rp150rb skrg juga! Penawaran berlaku s.d 13 Jan 2016 (bonus hanya 1x),sms operator
40,"BONUS Rp. 5,000 untuk kamu! Cukup kirim SMS 2X hari ini untuk mendapatkan bonusnya, khusus hari ini saja!  T483",sms operator
41,"BONUS Rp. 5,000 untuk kamu! Cukup telpon teman kamu selama 2 menit hari ini untuk mendapatkan bonusnya, khusus hari ini saja!  A010",sms operator
42,Buktikan hematnya pakai argo tetap di Bandung dengan GrabCar hingga 20%. Hayu ajakan rerencangan sareng buktikeun nyalira!,sms operator
43,Buruan Download & Registrasi myCare di http://bit.ly/mycarepLy dan dapatkan Promo 10GB (4G) di Paket Freedoom M & L dengan harga khusus HANYA HARI INI.,sms operator
44,"Butuh Piknik?Ada nih liburan GRATIS ke Hongkong!Cara:Pake pulsa AXIS di HP Androidmu buat transaksi sebanyak2nya items Pokemon Go,BIGO,COC, dll!Info838 LD328",sms operator
45,"Buy 2 Get 3 tiket Trans Studio Bandung,mulai 14 Mei-14Juni 2013.Tunjukkan SMS ke petugas di lokasi. Info: www.indosat.com/transstudiobgd",sms operator
46,cuma Rp 7500 dapat nelpon dan SMS UNLIMITED ke sesama Indosat Ooredoo   internetan sepuasnya 3 hari dengan paket Ramadhan Unlimited. ketik *123*88#,sms operator
47,"Dapatkan BONUS PULSA hg 50rb jika isi ulang di hari Minggu, isi ulang mulai dr 10rb. Ktk: GRATIS krm ke 123. Panduan: ketik PAN krm ke123. Cek bonus tekan*555*3#",sms operator
48,"Dapatkan Bonus SMS Kamu. Hanya dg kirim SMS, Kamu akan dapat Bonus Ratusan SMS ke semua operator. Pakai terus Indosat Ooredoo & raih kebebasan berkomunikasi",sms operator
49,Dapatkan Disc 20% di McDonalds khusus utk pembayaran dgn TCASH TAP!Dptkan stiker TCASH TAP di graPARI terdekat. Info tsel.me/tappromo,sms operator
50,Dapatkan Disc.30% utk Dominos PAN PIZZA!Roti yg lebih tebal dgn keju terasa sampai pinggir!Mulai Rp45500.Kunjungi toko terdekat/telf 1500366/Klik panpizza.co.id,sms operator
51,"Dapatkan EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr dg beli paket FLASH mulai 1GB di MY TELKOMSEL APP. Buruan, cek  di tsel.me/mytsel1 S&K",sms operator
52,"Dapatkan GRATIS 1 cappuccino (hot/ice) & Freza, setiap transaksi min Rp75Rb di EXCELSO Cafe Semarang, Yogya, Solo sd 9 Agust 13. Tunjukkan SMS kpd petugas",sms operator
53,Dapatkan GRATIS Wendy's Crispy Chicken Sandwich dengan minimal pembelian Rp.100.000. Tukarkan SMS ini di Wendy's terdekat! Persediaan terbatas. Promo *606#,sms operator
54,Dapatkan saldo bermain sebesar Rp 125rb hanya dengan bayar Rp 75rb. Berlaku hari Senin-Kamis. Tukarkan SMS ini segera di Timezone terdekat! Promo *606#,sms operator
55,"Dapatkan voucher Cipika Rp 100rb utk belanja kuliner, gadget, fashion, dll. Tkn *123*45# pilih Cipika, GRATIS & terbatas. Info: www.indosatooredoo.com/12345",sms operator
56,"Dear Customer, Kindly values your experience at Telkomsel Service, score between 1(very poor) to 5 (excellent), send SMS to 1166 (FREE) (for int'l charged)",sms operator
57,Disc.25%  Domino's Pizza Value Range s/d 14 Agustus.Kunjungi store terdekat/hubungi 1500366/visit http://bit.ly/294KoZ6 Kode:VR25D,sms operator
58,"DISKON 30RIBU khusus pelanggan baru Grab di Bandung. Berlaku 3x: kode promo URANGBANDUNG. Tak usah repot jalanan macet dan susah parkir, Hayu ngeGrab we atuh!",sms operator
59,DISKON 50% kuota NELPON++ 20 MENIT ke smua operator! Cuma Rp7rb (Normal Rp14rb) dg masa aktif panjang. Balas SMS ini dgn ketik Tri. Hanya HARI INI! V712,sms operator
60,"DISKON 50% utk Kacamata Lengkap + Bonus Kacamata Hitam, Tunjukan SMS ini di JL Gatot Soebroto 88 T.7333812. S&amp;K Berlaku.Promo*606#",sms operator
61,Domino's PAN PIZZA!Rotinya lebih tebal dgn keju terasa sampai pinggir! Nikmati Disc.30% dimulai Rp45.500.Kunjungi toko terdekat/telf 1500366/Klik panpizza.co.id,sms operator
62,DOUBLE kuota internet plus UNLIMITED Telpon dan SMS dengan Paket Freedom Combo dari Indosat Ooredoo. Segera hub *123# atau www.indosatooredoo.com/freedom,sms operator
63,Download dan rasakan serunya game-game premium pilihan hanya di *900#,sms operator
64,"Dptkn Free member card Larissa Aesthetic Center, disc 15% high treatment & asuransi jiwa, tiap isi ulang pulsa Rp 100rb di Galeri Indosat Jateng DIY s.d 31Des 13",sms operator
65,"Dptkn kesempatan raih hadiah utama mobil Alphard dg cara tukar 500 poin senyum Anda dg 1 kupon Undian s.d tgl 20Jun13,ketik Undian Jmlh Poin ke 7887(Rp25)",sms operator
66,Dukung rehabilitasi & pengembangan potensi anak berkebutuhan khusus di YPAC Jakarta. Mari berbagi melalui SMS Donasi dengan mengetik *123*65#,sms operator
67,"Flash Promo s.d 9 Agt! Ayo datangi Gallery Smartfren terdekat, DISKON 290rb dg tukar HP Smartfrenmu ke Andromax 4G LTE atau 190 utk tukar dg MiFi 4G LTE",sms operator
68,FREE DoubleScoop Ice Cream / Disc 10% di Haagen-Dasz dengan TCASH TAP! S&K berlaku. Info tsel.me/tappromo,sms operator
69,"GRATIS 10GB! Bagi yg blm mengganti kartu SIM menjadi SIM 4G, tukarkan skrg di gerai IndosatOoredoo terdekat dan nikmati GRATIS 10GB di jaringan 4G.",sms operator
70,"GRATIS nelpon kemana saja, ke semua operator! Cukup beli Internet Harian 100MB seharga Rp1500. Balas SMS ini dgn ketik JS utk membeli. N092",sms operator
71,GRATIS Whatsapp seharian! Cukup beli Internet Harian 100MB seharga Rp1500. Balas SMS ini dgn ketik JR utk membeli. N091,sms operator
72,Gunakan Grab dan nikmati 75% diskon untuk 10x bagi pengguna baru. Masukkan kode COBAGRABCAR sekarang juga dan ajak teman-temanmu keliling bandung tanp,sms operator
73,Gunakan GrabCar atau GrabTaxi & dapatkan diskon 35RIBU ke dan dari Stasiun/Bandara di Bandung. Masukkan kode promo GRABTRAVEL hingga pemakaian 30 September 2016. Hatur Nuhun.,sms operator
74,Gunakan TCASH untuk bayar tagihan listrik atau beli token listrik! Cukup hubungi *800# dan pilih menu pembayaran atau pembelian,sms operator
75,"Hai Apa Kabar? Ada Bonus Meriah Cukup isi pulsa minimun Rp 5 Ribu s.d 15 November, kamu langsung dapatkan 300 MB GRATIS. Ayo isi pulsa! Bonus utk 3 hari. RL044A",sms operator
76,"Hallo Bro, beli koin games pakai pulsamu yuk, mudah banget loh sob, cek http://tsel.me/jajanonline",sms operator
77,"Hallo urang minang, ado sticker rancak di Group Line Urang Kampuang MINANG GUY, beli pake pulsa Telkomsel",sms operator
78,"Hanya HARI ini! Freedom Combo XL Cuma Rp 89rb (Normal Rp 149rb) 20GB Music streaming gak pake kuota, UNLIMITED Nelp&SMS. Daftar *123#",sms operator
79,Hanya HARI INI!!! Cuma dengan seribu kamu langsung dapat 200 MB untuk 3 hari. Cukup balas SMS ini dengan ketik yA4. Buruan beli sekrang TL049B,sms operator
80,"HARI INI Freedom Combo XL Rp89rb (normal Rp149rb). DOUBLE kuota 5GB+5GB(4G)+ PROMO 10GB(4G), UNLIMITED nelp & SMS ke Indosat Ooredoo. Ketik FREEDOM XL ke 363",sms operator
81,Hari ini! BRONET 24Jam 3GB 60hr Rp31900 dan BRONETSpecial 6GB 60hr (3GB 24Jam+3GB 00-06) Rp34900 di *123*888# SEGERA aktifkan paketnya sekarang!! Info838 LD300,sms operator
82,Hari ini!! BRONET Special 4GB (2GB 24Jam+2GB 00-06) 60hr Rp24900 dan BRONET 24Jam 1GB 60hr Rp10900. AYO SEGERA aktifkan paket kamu di *123*888#. Info838 LD309,sms operator
83,Hari Rabu saatnya blanja di blanja.com & Nikmati diskon spesial untuk transaksi dengan TCASH! S&K Berlaku. Klik blj.co/tcashrabu,sms operator
84,Hari Senin saatnya Nonton Hemat hanya 25ribu di Cinema XXI dgn TCASH TAP! Dptkan stiker TCASH TAP di graPARI terdekat. Info tsel.me/tappromo,sms operator
85,"HARI TERAKHIR! Kunjungi Galeri Smartfren skrng, buat kamu Andromax A 4G jd 99rb (nrml 649rb). Tunggu apa lagi?!Stok terbatas.sd 22Agt.S&K.Info888.DL46J",sms operator
86,"Hayu dateng, mumpung ada ustad Fatih karim,beliau yg mengislamkan ustad Felix siaw",sms operator
87,Hi! Ayo coba Grab untuk pemesanan taxi yang cepat dan aman. Klik: https://invite.grab.co/37aa4d,sms operator
88,HOT PROMO! Dptkan EXTRA PULSA TSEL 50rb dg beli paket internet pertama kali di My Telkomsel App sjk 25 Agsts - 25 Sept. Cek detail paketnya di tsel.me/mytsel1,sms operator
89,"HOT PROMO: Internetan kuota 1,2GB/30hr HANYA Rp 15ribu aja! Beli di *363*822#. Promo s.d 30Juni16. S&K",sms operator
90,"I’m spreading the GO-JEK love. Download the GO-JEK app at “http://go-jek.com/app” and input this referral code “545075264” to get Rp 50,000 free credit to your first booking. #gojekgotmehere",sms operator
91,Ikuti JobFairActive & UjiKlyakanKerjaBerstifikat @PlasaTelkomMlg 9Feb13. dptkan platihan Intrview&Rekom kerja ke ribuan Ph. Info: www.indogetjob.com/085233334106,sms operator
92,Internetan puas kapan aja buat kamu yang butuh kuota besar. Paket SUMO 30GB 30hari semua jaringan. Beli di *123*3*3#. Info 123. D956,sms operator
93,"Isi saldo TCASHmu  melalui jaringan ATM Bersama & ATM BCA! Lakukan transfer antar bank, Pilih bank TCASH (Kode bank 911). Gunakan No HP sbg no rekening tujuan.",sms operator
94,"Isi ulang Kuota++ 3GB berhasil, dan kuota tlh ditambahkan. Nikmati juga BONUS NELPON ke semua Tri Rp10rb, cek bonus di *111*2# atau BimaTri.",sms operator
95,Isi ulang Rp50000.0 berhasil. Kode transaksi 99100827288792. Cek *123*888# untuk promo RABU RAWIT & JUMAT BAIK buat semua Pelanggan AXIS!,sms operator
96,Jalani ibadah Haji dg nyaman tnpa prlu ganti kartu lokal.Nikmati GRATIS 2menit/hr trima telp dr IndosatOoredoo&Internet UNLIMITED Rp30Rb/hari.Info: *122*1# PAI3,sms operator
97,"Jangan dikejar diskon berlari, beli RAWIT diskon datang sendiri.AYO isi ulang kartu AXIS kamu sekarang,dan pastikan besok ikutan promo Rabu RAWIT.Info838.LD279",sms operator
98,JANGAN LUPA kirim 50 SMS sd 16 Juni 2013 utk mendptkan Gratis 50 SMS ke sesame Indosat selama 2 hr (berlaku 1x selama periode prog). Info:100. US6,sms operator
99,"Jangan sampai kalah Bro, games mu bisa terbantu dengan menambah koinmu, beli aja pakai pulsa, cek caranya di http://tsel.me/jajanonline",sms operator
100,"Jangan sampai kehabisan, HARI INI di Baskin Robbins Value Scoop cuma 35.000 lho! Tunjukkan SMS ini. S&K Berlaku. Promo *606#",sms operator
101,"Jumat BAIK promo, BRONET 24Jam 1GB 30hr Rp10900 dan BRONET 4GB 60hr (24Jam 2GB + 00-06 2GB) Rp24900. SEGERA aktifkan paketnya melalui *123*888#.Info838.LD268",sms operator
102,"Kapan lg beli paket Flash mulai 1,3GB di MyTelkomsel dpt Extra PULSA Rp 50rb? Utk pembelian pertama sjk 25Aug - 25Sept. Cek detail paket di tsel.me/mytsel1",sms operator
103,Karena kamu pelanggan setia kamu bisa tukarkan hp smartfrenmu dg Andromax E 4G LTE hny 859rb(nrml 999rb). Segera ke Galeri Smartfren,sms operator
104,"Kartu 4G-LTE Anda telah aktif Dapatkan kuota tambahan sd 10GB&konten menarik dijaringan 4G, hub *123*46#. Info lokasi www.indosatooredoo.com/4G",sms operator
105,"Kesempatan LANGKA! Cuma buat kamu saja loh, Dapatkan 1 GB Cuma dengan RP 5000. Balas SMS ini dengan ketik Y10 s.d 15 November. Bonus berlaku 3 hari/ TL050D",sms operator
106,"Ketik FLASH<spasi>INFO kirim ke 33636 utk status paket kamu. Loopers! Dptkan info tren anak muda, challenge & pembelian paket di loop.co.id & follow@loop_id",sms operator
107,Ketik YA ke 919 s.d 14 Maret 2016. Cuma Rp59rb per-bln! Lgs dptkan 1+ 1GB(4G)+BONUS 10GB(4G) utk Internetan + Telp & SMS SEPUASNYA ke semua nomor,sms operator
108,"Khusus buat kamu yg doyan internetan! Cukup 10rb k, bs internetan slm 1 minggu (kuota 1,5 GB). Buruan ketik OKE ke 919. Pnwrn sd 30/09/2015 Khusus Nomor Ini.",sms operator
109,"KHUSUS buat kamu. PAKET internet hanya 10ribu dgn kuota 1.5GB selama 30hr, berlaku 24Jam di Jaringan tercepat Indosat. Balas SMS ini ketik YA ke 919 sd 22 Mei 15",sms operator
110,"Kocak abis! Mau liat aksi 8 pemuda galau, iseng, dan gokil yang dikepung polisi super cantik? Tonton aja Comic8 via HP kamu cmn 4400/3hr. Ketik FILM3 ke 99677",sms operator
111,"Koinmu tinggal dikit untuk lanjutin gamesmu? Beli pakai pulsa aja Bro, cek http://tsel.me/jajanonline",sms operator
112,Kuota Internet sudah habis. Segera isi kuota Anda di *123# atau akses aplikasi BimaTRI dari gadget Anda. Info:123,sms operator
113,"Lebih hemat langganan paket Data MINGGUAN. Cuma Rp10.900. Caranya? gampang kok, cukup ketik KUOTA(spasi)10K krm sms ke 363.",sms operator
114,"Lebih hemat langganan paket Internet MINGGUAN dgn kuota 250MB Cuma Rp 10,000. Caranya gampang cukup ketik KUOTA (SPASI) 10K ke 363.",sms operator
115,"LINE Lets Get Rich semakin seru, tambah koinnya dari pulsamu, mudah banget caranya di google play",sms operator
116,"Loopers, PaketTelkomselFlash Rp.50000 utk 600 MB & tambahan 600 MB di 3G + 11 GB(00-12)(berlaku 30 hari) tlh diaktifkan. Paket otomatis diperpanjang pd akhir masa aktif jika kamu berlangganan paket ini",sms operator
117,"Maaf, kamu tidak memiliki Bonus Kuota++. Dapatkan Bonus Kuota++ hingga 2GB di toko terdekat, hanya berlaku di Jawa Timur, Bali dan Lombok",sms operator
118,"Mainkan terus games mu sekarang, dan beli koinnya pakai pulsamu, cek caranya di http://tsel.me/jajanonline",sms operator
119,Mainkan terus gamesmu & beli sebanyak2nya apps/in-apps di Google Play Store,sms operator
120,Masih ingat dengan Warkop DKI ? Dapatkan NSP nya GRATIS dengan akses ke *600# dan dapatkan promo gratis lainnya sesuai dengan hobimu!,sms operator
121,Mau BONUS KEREN dari Indosat ooredoo? Ketik *345# dari HP kamu sekarang juga..!!,sms operator
122,MAU BONUS PULSA 50% dari Indosat Ooredoo?? Ketik *345# dan call dari HP kamu sebelum 31 Mei 2016,sms operator
123,"Mau cepat dan ga mau ribet cek pulsa & sisa kuota internetmu? Yuk download aplikasi myCare sekarang juga, atau akses di https://mycare.indosatooredoo.com",sms operator
124,"Mau Cepat GIFT Paket/Extra Kuota Internet & ga mau ribet isi ulang Pulsa? Download aja aplikasi myCare, smuanya jadi mudah. Install di http://bit.ly/mycarepLy",sms operator
125,"Mau download file besar tanpa putus? Bisa! Tinggal 3 hari, Gatis Mifi/modem 4G spesial untukmu Bawa sms ini ke Galeri SF & isi pulsa 100rb disana s/d 13 Jan DL 408",sms operator
126,"Mau ekstra telpon, SMS, Internetan (S&K berlaku)? Ikuti surveu singkat tentang aplikasi musik s/d  3 September. Klik: http://tsel.me/mulu",sms operator
127,"Mau internetan kuota BESAR dan harga MURAH? Buruan cek di *345#, penawaran ini khusus nomor kamu & cuma berlaku sebelum 16 Juli 2016",sms operator
128,"Mau jajan? Gak usah kemana-mana sob, jajan online aja, terutama buat kamu yang suka nge games, cek http://tsel.me/jajanonline",sms operator
129,"Mau paket data 1.5GB buat SEBULAN Cuma 20ribuan? Buruan ketik MAU ke 919, penawaran ini hanya berlaku sd 22-Jul-16",sms operator
130,"Mau paket data Cuma 10ribuan? Buruan cek di *345#, penawaran ini hanya berlaku sebelum 1 Juli 2016",sms operator
131,Mau Pergi Dari Hatiku nya Aliando di HP kamu? Ambil NSP GRATIS nya dengan akses ke *600# dan dapatkan promo gratis lainnya sesuai hobimu!,sms operator
132,Merdeka Hot Sale 45%! Kuota 5GB 30Hari(Rp125rb) CUMA Rp68rb penawaran terbatas! Cek SEKARANG di *111*1# .D966,sms operator
133,Migrasikan kartu Anda ke kartuHalo (NOMOR TETAP SAMA). DAPATKAN Paket Spesial 4GB Hanya 25rb/bulan. kunjungi GraPARI & tunjukan SMS ini.(Promo Terbatas).SKB,sms operator
134,"Murah dan seru banget main gamesmu, pakai pulsa aja beli koinmu, cek caranya di http://tsel.me/jajanonline",sms operator
135,MURAH! Hanya Rp25rb dptkan 2GB paket internetan utk 30hr. Kini internetan jadi semakin seru! Aktifkan segera di *550*904# promo s/d 29Feb16,sms operator
136,"Naik Lebih Sering, Hemat Lebih Banyak bersama GRAB!  Cukup lakukan 1 perjalanan biasa dengan GRABCAR atau GRABTAXI dan kamu akan OTOMATIS mendapatkan diskon di perjalanan berikutnya! Nikmati diskon bertahap hinga 35ribu/trip, ayo coba dan buktikan!",sms operator
137,"Nasabah YTH, rekening BTPN Wow! Anda sudah aktif. Lakukan transaksi melalui *247# menggunakan PIN rahasia Anda. Info hub 1500300.",sms operator
138,"Nelpon MURAH hanya Rp 2500/panggilan ke MAL, SIN, Thailand, HK, China & USA dgn tekan 01016+Kode Negara+No Tujuan. Info: www.indosatooredoo.com/flatcall2500",sms operator
139,"Nikmati Combo Wendy's Fried Chicken, nasi dan minum hanya Rp. 19.000 periode 13-19 Juni'16.Tukarkan SMS ini di Wendy's terdekat! Persediaan terbatas.Promo *606#",sms operator
140,Nikmati Disc.40% utk Dominos Pizza Premium BIG PARTY WEEKEND.Harga Mulai Rp.48rb.Berlaku dine in/take away s/d 8 May'16.Kunjungi store terdekat/hubungi 1500366,sms operator
141,Nikmati Discount 20% di Bakmi GM setiap hari hny dgn TCASH TAP! S&K berlaku. Info tsel.me/tappromo,sms operator
142,"Nikmati diskon 25% tarif SLI 008 ke SEMUA NEGARA mulai pukul 00.00 sd 06.00 WIB, sd 31Agustus 13. Info lengkap ketik *122*5*4# atau www.indosat.com/iddpromo",sms operator
143,"Nikmati Diskon Tarif Indosat 01016 & 001 hingga 70% ke 7 Negara (CHN, MLA,HKG,SNG,TWN,VTM,MACAU). Berlaku 07-28Feb13. Info : hub 100/111 atau *123# OK",sms operator
144,Nikmati Double Internetan di jaringan Data terkuat 3GB dan 3GB (4G) dan Tlp&SMS SEPUASNYA dgn pkt Freedom Combo. Daftar *123# atau http://mycare.indosatooredoo.com,sms operator
145,"Nikmati DOUBLE kuota PROMO 10GB(4G) di jaringan Data terkuat, UNLIMITED Nelp&SMS. 24JAM, dgn pkt Freedom Combo. Tekan *123# atau indosatooredoo.com/freedom",sms operator
146,Nikmati EKSTRA PULSA 100% dgn isi ulang min. 50rb HANYA di aplikasi MyTelkomsel menggunakan T-Cash! Download di http://tsel.me/1 Promo s/d 11 Agst 2016,sms operator
147,Nikmati EKSTRA PULSA 50% dgn isi ulang min. 100rb HANYA di aplikasi MyTelkomsel menggunakan Kartu Kredit VISA! Download di http://tsel.me/1 Promo s/d 11 Agst 16,sms operator
148,Nikmati EXTRA 2GB 4G LTE + EXTRA kuota hingga 1GB midnight dg beli pkt FLASH 1GB/30hr mulai Rp 43rb di *363*49# Cek tarif di tsel.me/FL SKB,sms operator
149,Nikmati EXTRA 2GB 4G LTE + EXTRA voucher belanja hingga 100rb dg beli pkt FLASH 1GB/30hr mulai Rp 43rb di *363*49# Cek tarif di tsel.me/FL SKB,sms operator
150,NIKMATI INDOSAT SUPER 3G+ utk Internetan ckp 10rb/minggu dpt Kuota 225MB(50MB+Bonus 175MB jam 00-06)Kecepatan hgg3.6Mbps.tekan *123*4*1*1# syarat berlaku hub:100,sms operator
151,"Nikmati kemudahan pembayaran iuran BPJS dgn TCASH. Cukup hubungi *800#, pilih menu pembayaran ATAU gunakan app T-Wallet di smartphone Android dan iPhone.",sms operator
152,Nikmati nelpon dan SMS UNLIMITED ke sesama Indosat Ooredoo internetan sepuasnya 3 hari dengan paket Freedom Mini. ketik *123*88#,sms operator
153,Nikmati nelpon dan SMS UNLIMITED ke sesama Indosat Ooredoo internetan sepuasnya 3 hari dengan paket Ramadhan Unlimited. ketik *123*88#,sms operator
