Name,Age,Height,Weight,ValueEUR,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Overall
T. Kroos,31,183,76,75000000,Medium,Medium,53,81,91,81,71,68,88
E. Haaland,20,194,94,137500000,High,High,89,91,65,80,45,88,88
K. Navas,34,185,80,15500000,Medium,Medium,89,84,75,89,53,87,88
Bruno Fernandes,26,179,69,107500000,High,High,75,86,89,84,70,77,88
R. Sterling,26,170,69,107500000,High,Medium,91,82,79,88,45,66,88
M. Verratti,28,165,60,79500000,Medium,High,64,61,87,91,79,67,87
L. Modrić,35,172,66,32000000,Medium,Medium,73,76,89,88,72,66,87
A. Di María,33,180,69,49500000,High,Medium,83,81,86,88,48,69,87
W. Szczęsny,31,195,90,42000000,Medium,Medium,86,82,73,88,49,87,87
T. Müller,31,185,76,66000000,High,High,67,84,83,79,56,71,87
C. Immobile,31,185,85,67500000,High,Medium,86,87,67,81,39,77,87
P. Pogba,28,191,84,79500000,High,Medium,71,81,86,86,65,83,87
L. Goretzka,26,189,82,93000000,High,Medium,81,82,82,84,81,86,87
Marquinhos,27,183,75,90500000,Medium,High,81,53,75,73,89,81,87
P. Dybala,27,177,75,93000000,Medium,Medium,84,86,86,91,40,60,87
A. Robertson,27,178,64,83500000,High,High,84,61,81,81,82,76,87
F. de Jong,24,180,74,119500000,High,Medium,81,69,85,88,77,78,87
T. Alexander-Arnold,22,180,69,114000000,High,Medium,79,68,88,80,80,72,87
Rúben Dias,24,187,82,102500000,Medium,High,61,38,65,67,88,88,87
S. Agüero,33,173,70,51000000,High,Medium,71,89,75,87,33,69,87
H. Lloris,34,188,82,13500000,Medium,Medium,88,83,65,90,62,84,87
J. Sancho,21,180,76,116500000,High,Medium,81,76,82,91,36,65,87
K. Koulibaly,30,187,89,55500000,Medium,High,81,28,51,65,87,85,86
M. Škriniar,26,188,80,74000000,Medium,High,80,41,53,68,87,84,86
R. Varane,28,191,81,68500000,Medium,High,82,49,64,63,87,82,86
L. Insigne,30,163,59,65500000,High,Medium,87,78,85,90,36,45,86
K. Casteels,29,197,86,52000000,Medium,Medium,85,83,80,87,45,84,86
Parejo,32,182,74,53500000,Medium,Medium,50,83,90,81,71,69,86
Sergio Busquets,32,189,76,45000000,Medium,Medium,42,62,79,80,82,75,86
Thiago,30,174,70,65000000,Medium,Medium,63,72,86,90,70,66,86
Jordi Alba,32,170,68,47000000,High,Medium,86,69,81,83,77,71,86
M. Hummels,32,191,96,44000000,High,High,56,59,77,72,89,77,86
G. Chiellini,36,187,85,12000000,Medium,High,68,46,60,58,89,85,86
S. Handanovič,36,193,92,7500000,Medium,Medium,81,81,65,87,48,92,86
Rodri,25,191,82,81000000,Medium,High,61,70,77,77,82,82,86
Marcos Llorente,26,184,74,88000000,High,Medium,88,80,81,82,78,82,86
R. Mahrez,30,179,67,65500000,Medium,Medium,81,80,81,90,38,60,86
Gerard Moreno,29,180,77,68000000,High,Medium,79,86,77,84,46,73,86
J. Vardy,34,179,74,33000000,High,Medium,85,84,70,80,52,73,86
João Cancelo,27,182,74,71500000,High,Medium,85,71,83,84,80,72,86
A. Laporte,27,191,85,77000000,Medium,Medium,63,50,72,68,86,80,86
K. Coman,25,180,76,81000000,Medium,Medium,93,76,79,88,30,60,86
Bernardo Silva,26,173,64,74000000,High,High,80,76,83,91,54,67,86
Fabinho,27,188,78,73500000,Medium,High,67,69,78,77,85,83,86
Roberto Firmino,29,181,76,54000000,High,High,77,78,79,89,59,78,85
A. Griezmann,30,176,73,53000000,Medium,Medium,80,84,84,87,52,72,85
E. Hazard,30,175,74,52000000,Medium,Medium,84,80,82,88,35,63,85
P. Gulácsi,31,191,86,28500000,Medium,Medium,85,84,76,86,43,82,85
E. Cavani,34,185,77,26000000,High,High,66,86,70,75,51,79,85
Y. Sommer,32,183,79,26500000,Medium,Medium,79,81,84,86,51,86,85
David Silva,35,173,67,22000000,High,Medium,63,74,87,87,52,53,85
M. Depay,27,176,78,63000000,High,Low,82,83,82,85,30,79,85
K. Schmeichel,34,189,89,9000000,Medium,Medium,84,78,80,90,48,83,85
A. Gómez,33,167,68,33500000,High,Medium,87,78,84,87,39,55,85
I. Gündoğan,30,180,80,51500000,High,Medium,65,80,85,86,73,72,85
M. Reus,32,180,71,43000000,High,Medium,73,84,84,85,47,63,85
L. Bonucci,34,190,85,17500000,Medium,High,64,58,69,71,86,80,85
K. Walker,31,183,83,39000000,High,High,92,63,76,78,80,82,85
P. Aubameyang,32,187,80,43500000,Medium,Low,89,85,75,79,35,69,85
Koke,29,176,75,52500000,Medium,Medium,70,75,85,81,79,80,85
Thiago Silva,36,183,79,9500000,Medium,High,53,54,72,71,86,78,85
S. Gnabry,25,176,77,64500000,High,Medium,83,84,79,86,43,69,85
S. de Vrij,29,189,78,45000000,Medium,High,72,41,64,69,87,79,85
M. de Ligt,21,189,89,75000000,Medium,High,73,59,60,68,84,87,85
A. Hakimi,22,181,73,69500000,High,Medium,95,71,78,84,76,78,85
M. Rashford,23,186,70,77500000,High,Medium,90,84,79,85,43,77,85
L. Martínez,23,174,72,78000000,High,Medium,84,81,72,85,48,84,85
Oyarzabal,24,181,79,77500000,High,Medium,82,82,81,84,41,63,85
W. Ndidi,24,183,74,66500000,Medium,High,67,62,69,74,87,83,85
S. Milinković-Savić,26,191,76,66000000,High,Medium,68,79,80,81,79,86,85
Jorginho,29,180,68,52500000,Medium,Medium,55,67,86,81,73,73,85
Carvajal,29,173,73,47500000,High,Medium,80,54,78,80,81,80,85
L. Digne,27,178,74,40500000,High,Medium,79,69,80,80,80,76,84
D. Alaba,29,180,78,35500000,Medium,Medium,77,70,81,80,83,76,84
Luis Alberto,28,183,74,42500000,Medium,Medium,60,76,86,85,57,59,84
D. Tadić,32,181,76,33500000,Medium,Medium,69,81,85,85,43,76,84
W. Ben Yedder,30,170,68,41500000,High,Low,82,84,77,88,39,70,84
P. Foden,21,171,69,94500000,High,Medium,84,78,80,87,56,57,84
J. Iličić,33,190,79,27000000,Medium,Medium,75,86,84,86,40,67,84
E. Martínez,28,195,88,33500000,Medium,Medium,85,83,82,85,58,83,84
Iago Aspas,33,176,67,27000000,High,High,82,85,79,86,35,63,84
H. Maguire,28,194,100,42500000,High,High,50,55,69,70,85,87,84
De Gea,30,192,76,28000000,Medium,Medium,86,79,76,87,58,79,84
Piqué,34,194,85,13500000,High,Medium,58,61,71,67,85,78,84
K. Trippier,30,173,69,36500000,Medium,Medium,73,63,82,77,80,72,84
Fernando,33,183,76,21000000,Medium,Medium,66,62,75,73,83,82,84
J. Henderson,31,182,80,29500000,High,High,66,74,83,78,78,81,84
G. Wijnaldum,30,175,74,40500000,High,High,77,75,80,86,79,79,84
D. Mertens,34,169,61,20500000,High,Low,85,82,80,88,34,50,84
M. Sabitzer,27,178,76,48000000,High,High,78,84,81,80,67,78,84
Jesús Navas,35,172,60,13000000,High,Medium,87,69,81,84,79,58,84
Z. Ibrahimović,39,195,95,14500000,Medium,Low,65,87,78,79,34,77,84
K. Havertz,22,188,82,94500000,Medium,Medium,82,78,79,84,45,66,84
S. Savić,30,187,80,34500000,Medium,High,64,35,57,56,87,76,84
T. Hernández,23,184,81,62500000,High,Medium,93,71,76,81,77,82,84
Y. Tielemans,24,176,72,57000000,Medium,Medium,63,79,86,80,71,72,84
J. Grealish,25,180,81,50500000,High,Medium,80,76,83,88,46,64,84
N. Fekir,27,173,75,45000000,High,Medium,83,83,82,87,38,79,84
L. Sané,25,183,80,56000000,Medium,Low,90,81,79,85,38,68,84
N. Barella,24,172,68,63500000,High,High,78,71,79,86,75,78,84
M. Acuña,29,172,69,37000000,High,High,76,74,82,87,79,82,84
M. Brozović,28,181,68,37000000,Medium,Medium,69,74,80,79,79,78,84
André Silva,25,185,84,51000000,Medium,Medium,74,84,69,83,45,77,84
F. Kessié,24,183,88,49500000,High,High,78,74,74,79,82,87,84
L. Shaw,25,181,75,48500000,High,Medium,79,54,79,80,81,80,84
M. Ginter,27,191,86,42500000,Medium,Medium,62,58,72,65,86,79,84
Felipe,32,190,84,27500000,Low,High,61,41,58,61,85,84,84
Y. Carrasco,27,185,73,45000000,High,High,88,81,78,86,45,67,84
F. Kostić,28,184,82,42500000,High,High,88,77,82,83,68,80,84
H. Ziyech,28,181,65,42500000,High,High,78,76,87,84,50,65,84
R. Guerreiro,27,170,71,40500000,High,Low,75,77,85,88,76,58,84
Ricardo Pereira,27,175,70,40500000,High,High,83,67,78,82,80,75,84
T. Werner,25,180,76,56500000,High,Medium,91,81,70,83,35,70,84
M. Maignan,25,191,89,49500000,Medium,Medium,83,81,85,86,50,84,84
J. Giménez,26,185,79,52000000,Medium,High,72,45,57,58,86,80,84
S. Coates,30,196,92,30000000,Medium,Medium,68,49,55,63,84,87,83
J. Stones,27,188,76,41000000,High,Medium,70,51,71,74,84,78,83
Allan,30,175,74,30500000,Medium,High,72,71,77,81,80,79,83
K. Volland,28,179,85,37000000,High,High,73,85,79,80,42,86,83
Morata,28,190,84,37000000,Medium,Medium,82,80,72,81,31,77,83
M. Icardi,28,181,75,37000000,Medium,Medium,69,83,65,77,36,69,83
L. Spinazzola,28,186,75,33000000,High,Medium,92,64,73,81,78,71,83
N. Pope,29,199,76,25000000,Medium,Medium,81,83,75,84,48,83,83
R. Jiménez,30,188,81,35500000,High,High,72,82,76,81,47,82,83
F. Acerbi,33,192,88,17500000,Medium,High,63,50,62,63,86,83,83
K. Manolas,30,189,83,30000000,Low,Medium,81,25,44,61,85,81,83
A. Rüdiger,28,190,85,34500000,Medium,High,75,43,68,63,84,84,83
J. Boateng,32,190,94,23500000,Medium,Medium,72,50,73,66,84,79,83
Fernandinho,36,179,67,7000000,Medium,High,59,72,75,77,84,75,83
C. Vela,32,177,77,29000000,High,Low,80,82,78,84,31,67,83
A. Witsel,32,186,81,24000000,Medium,Medium,61,72,81,78,82,79,83
Sergio Asenjo,32,189,87,18000000,Medium,Medium,85,83,78,83,56,81,83
S. Kjær,32,190,86,23500000,Low,High,67,55,64,58,85,78,83
E. Džeko,35,193,80,15500000,Medium,Medium,66,83,72,78,45,76,83
T. Alderweireld,32,186,81,0,Medium,Medium,58,55,70,66,86,77,83
H. Mkhitaryan,32,177,75,29500000,Medium,Medium,85,80,79,84,56,74,83
Azpilicueta,31,178,77,25000000,Medium,Medium,66,55,76,72,84,76,83
Muniain,28,170,66,36500000,High,Medium,81,76,82,87,51,61,83
Canales,30,176,65,34500000,High,Medium,83,80,85,82,67,71,83
L. Hrádecký,31,192,83,19000000,Medium,Medium,85,78,69,87,41,83,83
Alex Sandro,30,180,80,31500000,High,Medium,81,65,77,79,78,79,83
B. Leno,29,190,83,28000000,Medium,Medium,85,80,76,85,56,83,83
J. Pickford,27,185,77,33000000,Medium,Medium,83,78,87,86,48,80,83
J. Koundé,22,181,75,53000000,High,High,81,45,64,72,84,78,83
L. Ocampos,26,188,84,39500000,High,High,81,84,78,83,63,84,83
P. Kimpembe,25,189,80,45500000,Medium,High,81,42,68,69,83,86,83
J. Matip,29,194,90,30500000,Medium,Medium,58,46,68,68,85,78,83
M. Kovačić,27,176,80,41500000,High,High,70,69,83,88,69,70,83
João Félix,21,181,72,82000000,Medium,Medium,82,79,76,86,40,68,83
F. Valverde,22,182,78,58000000,High,High,86,74,78,79,77,80,83
F. Chiesa,23,175,70,80500000,High,Medium,91,81,74,86,48,73,83
E. Mendy,29,197,86,30000000,Medium,Medium,83,82,78,84,34,81,83
M. Mount,22,178,70,58500000,High,High,74,79,84,83,55,65,83
O. Dembélé,24,178,67,55000000,High,Medium,93,77,77,87,36,56,83
Gabriel Jesus,24,175,73,52500000,High,Medium,84,81,72,87,39,73,83
Arthur,24,171,73,47000000,Medium,Medium,69,67,83,88,72,70,83
Ronaldo Cabrais,29,177,75,35500000,Medium,Low,88,77,83,84,35,72,83
A. Wan-Bissaka,23,183,72,48500000,Medium,High,85,52,69,79,81,75,83
F. Mendy,26,180,73,43500000,High,High,92,64,76,80,78,84,83
J. Cuadrado,33,179,72,19000000,High,Medium,90,75,77,88,76,72,83
Merino,25,189,83,50000000,High,High,74,78,81,82,82,81,83
D. Zapata,30,189,88,35500000,High,Medium,80,81,61,78,35,84,83
R. Gosens,26,183,76,36000000,High,Medium,82,75,74,79,77,81,83
T. Lemar,25,171,66,48000000,High,Medium,82,76,82,87,59,63,83
P. Højbjerg,25,185,84,43500000,Medium,High,60,71,76,76,81,82,83
A. Correa,26,171,70,48000000,High,Medium,85,83,78,88,49,74,83
T. Partey,28,185,77,36500000,Medium,High,69,71,82,81,80,84,83
A. Kramarić,30,177,73,35500000,Medium,Medium,71,86,76,86,30,71,83
Angeliño,24,175,69,46000000,High,High,78,71,82,84,76,70,83
L. Hernández,25,184,79,44500000,Low,High,77,54,68,70,84,79,83
Marco Asensio,25,182,76,48000000,High,Medium,82,80,81,83,43,62,83
W. Weghorst,28,197,84,37000000,High,High,63,83,59,69,52,86,83
Gayà,26,172,66,43500000,High,Medium,83,61,77,80,79,73,83
A. Davies,20,183,75,57000000,High,Low,96,67,71,83,75,75,82
Unai Simón,24,190,89,34500000,Medium,Medium,82,77,76,84,47,85,82
Richarlison,24,181,71,46500000,High,Medium,83,78,73,84,53,80,82
C. Romero,23,185,79,41500000,Low,High,76,46,52,60,83,84,82
D. Dumfries,25,188,80,35000000,High,Medium,80,61,66,72,78,89,82
Raphinha,24,176,68,46000000,High,High,91,76,76,85,49,72,82
A. Isak,21,192,77,45000000,High,Low,84,82,68,79,29,69,82
Ferran Torres,21,184,77,68500000,High,Medium,82,79,78,82,35,66,82
F. Neuhaus,24,185,74,46000000,Medium,Medium,64,72,79,83,66,67,82
Y. En-Nesyri,24,188,78,44000000,High,High,78,83,58,79,35,76,82
T. Ndombele,24,179,76,46000000,Medium,Medium,71,72,81,88,69,72,82
T. Souček,26,192,86,36000000,High,High,64,72,74,74,82,85,82
Éder Militão,23,186,78,56500000,Medium,Medium,83,50,69,71,83,82,82
Raphaelinho Anjos,33,190,85,10000000,Medium,Medium,79,84,77,78,42,83,82
Pau Torres,24,191,80,56500000,Medium,High,72,38,67,69,84,80,82
D. Livaković,26,187,79,35000000,Medium,Medium,81,78,74,85,55,80,82
Dani Olmo,23,179,72,46000000,Medium,High,67,76,81,86,50,60,82
Josué Chiamulera,29,185,80,25500000,Medium,Medium,78,43,56,64,85,79,82
C. Pulisic,22,177,69,49000000,Medium,Medium,89,70,73,87,37,59,82
B. Chilwell,24,178,77,40500000,High,High,76,53,77,78,78,75,82
J. Maddison,24,175,73,41500000,High,Medium,75,78,84,84,54,60,82
N. Süle,25,195,99,40500000,Medium,Medium,65,42,59,49,83,81,82
Alex Telles,28,181,71,27500000,High,Medium,83,73,82,78,77,73,82
Anderson Talisca,27,190,80,35500000,High,Low,80,83,81,83,52,75,82
R. De Paul,27,180,70,35000000,High,Medium,78,76,80,82,71,79,82
Rafa,28,170,63,30500000,High,Medium,94,73,74,86,50,52,82
Diego Carlos,28,185,86,30500000,Medium,High,77,47,63,67,81,83,82
A. Rebić,27,185,78,32500000,High,Medium,86,83,75,82,48,80,82
Pepe,38,188,80,5500000,Medium,High,80,51,60,60,82,87,82
M. Locatelli,23,185,75,42000000,Medium,High,61,72,79,77,79,79,82
L. Bailey,23,178,77,43500000,High,Medium,93,78,74,84,33,64,82
M. Ødegaard,22,178,68,49000000,High,Medium,77,74,83,84,58,62,82
Rúben Neves,24,180,80,46000000,Low,High,59,75,85,77,74,73,82
Diogo Jota,24,178,73,46000000,High,High,84,81,73,85,57,77,82
J. Gomez,24,188,77,43500000,Medium,Medium,81,30,66,69,83,78,82
Fabián,25,189,70,42000000,Medium,Medium,63,78,79,82,74,71,82
Palhinha,25,190,82,41000000,Medium,High,60,65,70,72,85,88,82
D. Upamecano,22,186,90,64000000,High,Medium,81,43,62,68,81,81,82
Mario Hermoso,26,185,76,35500000,Medium,High,76,49,72,70,83,80,82
C. Lenglet,26,186,81,37500000,Medium,High,74,45,67,64,82,78,82
C. Eriksen,29,181,76,29500000,Medium,Low,62,78,88,81,53,52,82
Raúl Albiol,35,190,82,8000000,Low,High,40,41,62,62,86,73,82
Portu,29,167,66,30000000,High,High,90,78,77,79,59,79,82
L. Muriel,30,179,79,30000000,High,Medium,89,83,74,86,27,67,82
A. Lopes,30,184,81,23000000,Medium,Medium,84,78,70,86,64,80,82
Campaña,28,179,70,30500000,Medium,Medium,68,74,83,82,71,72,82
Gabriel Paulista,30,185,72,25000000,Low,High,69,49,71,65,84,83,82
J. Veretout,28,177,67,29500000,Medium,Medium,77,75,77,78,77,81,82
Suso,27,176,70,32500000,High,Low,76,76,82,86,32,55,82
T. Hazard,28,175,71,30500000,High,High,80,76,80,85,53,66,82
Juan Bernat,28,170,67,27500000,High,Medium,82,65,78,83,76,68,82
H. Çalhanoğlu,27,178,76,35000000,Medium,Medium,67,78,84,85,59,57,82
Isco,29,176,79,30000000,Medium,Low,66,75,80,89,59,59,82
E. Can,27,186,86,35000000,Medium,High,78,78,78,80,84,87,82
Saúl,26,184,75,39500000,Medium,Medium,71,78,78,79,78,79,82
M. de Roon,30,185,76,25500000,Medium,High,66,68,71,72,82,83,82
Y. Bounou,30,192,78,20500000,Medium,Medium,82,79,76,84,35,81,82
Grimaldo,25,171,69,37000000,High,Medium,87,65,81,83,74,71,82
A. Romagnoli,26,185,75,31500000,Medium,Medium,68,40,56,67,85,78,82
D. Berardi,26,183,72,33500000,Medium,Medium,79,80,81,85,36,69,82
N. Tagliafico,28,172,65,27500000,High,High,80,55,73,75,81,81,82
W. Zaha,28,180,66,31000000,High,Medium,89,77,73,88,34,75,82
Neto,31,190,84,16000000,Medium,Medium,83,79,78,81,54,79,82
L. Fabiański,36,190,83,3400000,Medium,Medium,82,82,71,82,48,83,82
Oscar,29,179,70,30000000,High,Medium,78,79,82,82,59,67,82
S. Sirigu,34,192,85,5000000,Medium,Medium,82,77,76,80,46,84,82
I. Rakitić,33,184,78,18500000,Medium,Medium,57,79,85,78,75,69,82
G. Bale,31,185,82,25000000,Medium,Medium,82,84,82,80,55,70,82
Rui Patrício,33,190,84,10000000,Medium,Medium,82,80,77,83,55,80,82
E. Banega,33,174,75,15000000,High,Medium,62,75,84,82,76,71,82
M. Pjanić,31,178,72,25000000,Medium,Medium,65,68,83,81,75,67,82
Yuri Berchiche,31,181,80,22000000,High,Medium,83,68,76,76,79,82,82
L. Stindl,32,181,80,24000000,Medium,Medium,61,84,81,81,60,73,82
K. Trapp,30,189,88,20500000,Medium,Medium,82,78,79,84,49,82,82
O. Baumann,31,187,82,16000000,Medium,Medium,81,80,79,82,49,79,82
Coutinho,29,172,68,30000000,High,Medium,69,79,80,89,52,59,82
D. Blind,31,180,72,21000000,High,Medium,45,64,82,79,83,72,82
M. Götze,29,177,71,30000000,Medium,Medium,68,75,83,84,55,69,82
A. Areola,28,195,94,26000000,Medium,Medium,85,79,76,85,55,80,82
J. Corona,28,173,66,30500000,High,Medium,83,67,79,85,74,60,82
A. Lacazette,30,175,73,30000000,High,High,75,82,74,82,44,72,82
I. Gueye,31,174,66,21500000,Medium,High,69,66,72,78,83,77,82
Mário Fernandes,30,187,80,26500000,High,Medium,81,61,74,79,78,79,82
P. Gollini,26,194,94,35000000,Medium,Medium,82,81,76,82,47,83,82
D. Rice,22,185,80,43000000,Medium,High,67,53,71,73,81,80,82
Danilo Pereira,29,188,83,22000000,Medium,High,64,63,71,73,80,86,81
M. Lazzari,27,174,67,25000000,High,High,92,62,76,83,70,65,81
Fred,28,169,62,22500000,High,High,77,66,77,81,75,71,81
Lucas Vázquez,30,173,70,25000000,High,Medium,82,73,79,80,69,69,81
A. Belotti,27,181,84,30000000,High,High,76,81,59,78,38,83,81
E. Forsberg,29,177,76,25500000,Medium,Medium,70,73,82,83,35,62,81
Pedri,18,174,61,54000000,High,High,78,65,79,84,66,63,81
Renan Lodi,23,173,70,36500000,High,Medium,84,67,76,81,77,75,81
D. Kulusevski,21,186,75,58000000,High,Medium,84,74,77,84,56,76,81
E. Tapsoba,22,194,85,48500000,Medium,High,75,52,65,68,82,79,81
Reguilón,24,178,68,32500000,High,High,86,58,75,78,78,70,81
M. Diaby,21,170,68,52500000,High,Low,94,67,73,86,41,53,81
Pedro Gonçalves,23,173,65,51500000,High,Medium,76,81,79,84,56,65,81
Cucurella,22,172,66,41500000,High,Medium,79,67,78,80,73,74,81
R. James,21,178,87,37000000,High,Medium,80,58,77,78,76,80,81
A. Januzaj,26,186,76,28000000,Medium,Low,79,75,80,83,30,58,81
Rui Silva,27,191,91,25500000,Medium,Medium,82,76,75,84,30,83,81
L. Paredes,27,180,75,28000000,Medium,Medium,66,71,83,79,76,79,81
M. Arnold,27,184,74,26500000,High,Medium,65,81,79,78,76,74,81
E. Višća,31,172,63,21500000,High,Medium,87,78,78,81,47,64,81
A. Cragno,27,184,78,23500000,Medium,Medium,82,80,73,84,39,80,81
J. Ward-Prowse,26,173,66,33500000,Medium,High,59,74,86,78,67,73,81
A. Milik,27,186,78,30000000,Medium,Medium,64,84,67,76,39,71,81
W. Orban,28,186,87,24500000,Medium,Medium,49,36,52,54,84,80,81
Iñigo Martínez,30,182,77,21000000,Medium,Medium,71,56,66,63,81,79,81
K. Zouma,26,190,95,30000000,Medium,Medium,65,51,63,56,81,85,81
T. Vaclík,32,188,85,13000000,Medium,Medium,83,77,74,84,39,80,81
A. Florenzi,30,173,67,22000000,High,Medium,76,77,79,80,76,62,81
J. Tarkowski,28,188,81,24500000,Low,High,57,45,67,64,82,81,81
A. Marchesín,33,188,84,8500000,Medium,Medium,82,77,76,83,53,80,81
A. Rabiot,26,192,80,30000000,Medium,Medium,76,74,76,79,76,79,81
P. Zieliński,27,180,75,29500000,Medium,Medium,81,75,81,85,70,61,81
Juiano Mestres,25,181,82,25000000,High,Medium,71,61,57,62,82,80,81
H. Lozano,25,175,70,31000000,High,Low,93,76,72,83,41,62,81
Rosberto Dourado,21,175,70,27000000,High,Medium,77,57,74,76,82,68,81
Louri Beretta,29,188,83,25500000,High,Low,78,84,62,72,33,71,81
Welington Dano,21,178,69,27500000,Medium,Medium,79,54,76,78,75,74,81
L. Pellegrini,25,186,77,38000000,Medium,Medium,78,74,81,80,72,77,81
Yeray,26,182,79,28000000,Medium,Medium,68,49,62,63,82,77,81
Álex Remiro,26,191,83,26000000,Medium,Medium,84,74,80,82,43,84,81
G. Lo Celso,25,177,68,35500000,High,High,75,76,82,83,69,73,81
N. Mukiele,23,187,84,34500000,Medium,High,80,49,69,73,82,80,81
N. Pépé,26,183,73,30500000,High,Medium,88,79,75,83,36,65,81
K. Laimer,24,180,72,33500000,Medium,High,81,68,77,78,80,77,81
Gonçalo Guedes,24,179,68,39000000,High,Low,86,79,76,82,36,68,81
K. Phillips,25,178,72,32500000,Medium,High,67,65,76,75,78,82,81
David Soria,28,192,85,20500000,Medium,Medium,81,80,72,82,41,80,81
D. Calvert-Lewin,24,187,71,37500000,High,Medium,83,77,64,77,39,82,81
Otávio,26,172,71,30500000,High,High,78,69,79,85,63,68,81
D. van de Beek,24,184,74,38500000,High,Medium,68,78,76,79,72,77,81
M. Dúbravka,32,190,80,13000000,Medium,Medium,79,78,80,82,46,79,81
H. Hateboer,27,185,72,25000000,High,Medium,84,64,72,77,77,79,81
D. Djené,29,178,72,24000000,Medium,High,69,37,62,61,83,79,81
Morales,33,180,70,16500000,High,Medium,86,82,75,85,52,68,81
M. Politano,27,171,67,27500000,High,Medium,83,77,78,84,42,55,81
Iñaki Williams,27,186,80,30000000,High,Medium,94,78,72,78,37,81,81
J. Correa,26,189,75,31000000,Medium,Medium,84,75,77,85,39,69,81
J. Musso,27,191,93,23500000,Medium,Medium,82,78,73,86,44,82,81
J. Brandt,25,185,83,36000000,High,Medium,73,75,80,84,48,66,81
O. Vlachodimos,27,191,78,23500000,Medium,Medium,84,78,67,84,43,78,81
A. Martial,25,184,76,34500000,Low,Low,87,80,73,86,35,68,81
D. Machís,28,174,74,26000000,High,Medium,88,80,75,83,38,70,81
Lucas Moura,28,174,70,26000000,High,Medium,90,79,70,86,43,68,81
Adryan Zonta,29,172,68,22500000,Medium,Medium,93,66,75,76,72,77,81
Nacho Fernández,31,180,76,17500000,Low,High,78,37,66,69,81,80,81
H. Aouar,23,175,70,39000000,High,Low,75,73,79,85,65,69,81
S. Mandanda,36,185,82,2900000,Medium,Medium,80,80,78,81,48,81,81
G. Higuaín,33,186,89,16500000,High,Medium,58,84,71,78,29,71,81
José Fonte,37,191,84,4600000,Medium,High,32,46,62,62,83,77,81
J. Vertonghen,34,189,86,8500000,Medium,Medium,76,62,72,66,83,78,81
Lucas Leiva,34,179,78,9000000,Low,High,56,65,73,75,82,69,81
Adán,34,190,86,4400000,Medium,Medium,78,81,78,80,55,83,81
I. Perišić,32,186,80,20500000,Medium,Medium,81,79,76,79,64,74,81
A. Vidal,34,180,75,12000000,High,High,65,79,79,79,82,82,81
M. Kruse,33,180,76,16500000,High,Low,64,81,81,82,40,66,81
M. Arnautović,32,192,83,21000000,Medium,Low,79,81,79,78,44,82,81
Marlos,33,174,76,16000000,Medium,Low,79,76,78,86,47,68,81
B. André,30,180,74,21500000,High,High,67,64,74,75,80,85,81
N. Otamendi,33,183,76,12500000,Medium,High,63,57,62,58,83,81,81
H. Barnes,23,180,66,35000000,High,Medium,86,77,76,81,45,63,81
Paco Alcácer,27,175,70,28000000,Medium,Low,77,84,69,80,35,61,81
Carlos Soler,24,180,76,51500000,Medium,Medium,78,77,82,80,71,72,81
Lucas Paquetá,23,180,72,37000000,High,High,75,77,80,84,70,78,81
